37AZBV;Ремонт/Замена корпуса ноутбука;190
ZD111U;Чистка операционной системы от ошибок и мусорных файлов;320,32
XTWDYK;Диагностика ноутбука;350
UKSRK5;Диагностика компьютерной техники;450
4N440U;Замена процессора на ноутбуке;765,87
RCRAAB;Восстановление случайно удаленных данных из корзины;850
63QII7;Ремонт/Замена клавиатуры ноутбука;870
L1G3MY;Профилактика - Чистка ноутбука от пыли + замена термопасты;870
35OD6D;Установка драйверов устройств;900
J31RKJ;Форматирование и создание раздела жесткого диска;1000
3K03X7;Индивидуальная настройка ОС;1100
BDVJ4Y;Дефрагментация жесткого диска;1500
K5U65W;Установка специализированных утилит;1650,98
RV63GY;Удаление вирусов с компьютера (без установки антивируса);1700.80
H0326A;Удаление вирусов с карт памяти и флешек;2310.10
VE6DVF;Разблокировка Windows без переустановки (удаление банера);2400.23
593NWV;Установка мультимедиа и интернет программ (плеер, браузер и пр.);490.87
GVDGCW;Установка ОС;540.99
6ZTZ1D;Установка антивируса (без стоимости лицензии);600.87
8VDT28;Ремонт блока питания ноутбука;650.98
